Edge A	Edge B	Edge C
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
77.35	59.27	61.03
48.77	61.44	23.23
29.16	37.16	59.92
34.37	52.36	62.53
68.55	53.40	53.84
66.53	22.51	45.32
38.66	55.26	51.88
90.97	51.05	40.98
57.22	46.93	46.93
74.41	63.51	16.23
83.99	38.44	48.69
42.83	32.47	36.11
74.49	38.71	19.14
43.61	43.66	67.66
58.31	67.88	63.21
60.26	58.38	58.73
67.38	42.48	12.36
43.91	62.92	71.05
38.99	38.63	62.47
41.19	63.80	51.79
32.38	49.14	33.17
67.17	47.17	55.39
66.46	29.29	65.84
51.74	66.28	66.83
58.62	41.74	19.40
36.02	90.85	82.89
36.22	53.63	94.85
39.40	72.47	70.30
66.95	40.93	57.24
76.93	73.66	74.76
58.36	67.85	77.58
72.24	67.33	67.72
46.12	89.55	89.18
76.49	58.93	77.63
95.20	67.35	38.76
48.65	38.26	98.59
48.63	47.73	70.16
40.85	83.69	28.85
55.41	43.18	54.84
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
77.35	59.27	61.03
48.77	61.44	23.23
29.16	37.16	59.92
34.37	52.36	62.53
68.55	53.40	53.84
66.53	22.51	45.32
38.66	55.26	51.88
90.97	51.05	40.98
57.22	46.93	46.93
74.41	63.51	16.23
83.99	38.44	48.69
42.83	32.47	36.11
74.49	38.71	19.14
43.61	43.66	67.66
58.31	67.88	63.21
60.26	58.38	58.73
67.38	42.48	12.36
43.91	62.92	71.05
38.99	38.63	62.47
41.19	63.80	51.79
32.38	49.14	33.17
67.17	47.17	55.39
66.46	29.29	65.84
51.74	66.28	66.83
58.62	41.74	19.40
36.02	90.85	82.89
36.22	53.63	94.85
39.40	72.47	70.30
66.95	40.93	57.24
76.93	73.66	74.76
58.36	67.85	77.58
72.24	67.33	67.72
46.12	89.55	89.18
76.49	58.93	77.63
95.20	67.35	38.76
48.65	38.26	98.59
48.63	47.73	70.16
40.85	83.69	28.85
55.41	43.18	54.84
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
77.35	59.27	61.03
48.77	61.44	23.23
29.16	37.16	59.92
34.37	52.36	62.53
68.55	53.40	53.84
66.53	22.51	45.32
38.66	55.26	51.88
90.97	51.05	40.98
57.22	46.93	46.93
74.41	63.51	16.23
83.99	38.44	48.69
42.83	32.47	36.11
74.49	38.71	19.14
43.61	43.66	67.66
58.31	67.88	63.21
60.26	58.38	58.73
67.38	42.48	12.36
43.91	62.92	71.05
38.99	38.63	62.47
41.19	63.80	51.79
32.38	49.14	33.17
67.17	47.17	55.39
66.46	29.29	65.84
51.74	66.28	66.83
58.62	41.74	19.40
36.02	90.85	82.89
36.22	53.63	94.85
39.40	72.47	70.30
66.95	40.93	57.24
76.93	73.66	74.76
58.36	67.85	77.58
72.24	67.33	67.72
46.12	89.55	89.18
76.49	58.93	77.63
95.20	67.35	38.76
48.65	38.26	98.59
48.63	47.73	70.16
40.85	83.69	28.85
55.41	43.18	54.84
39.76	52.18	64.78
22.48	48.65	44.65
64.12	24.47	56.33
49.55	79.84	84.36
62.41	42.53	67.90
76.49	58.93	77.63
95.20	67.35	38.76
55.41	43.18	54.84
